time,event_type,bot_id,rack_id,stop_index,exit_id,leg_type,from_node,to_node,travel_start,travel_end,distance_m,n_turns,travel_time_s,queue_delay_s,service_start,service_end,release_time_s,n_os_stop,n_os,n_stops,trip_start,trip_end,trip_duration_s,travel_distance_total,travel_time_total,queue_time_total,release_time_total,cycle_time_total
3299.625,travel_leg,BOT_2,RACK_587,1.0,EXIT_12,receiving_to_first_exit,receiving,EXIT_12,3200.0,3299.625,76.5,2.0,99.625,,,,,,,,,,,,,,,
3304.5,exit_stop_service,BOT_25,RACK_585,1.0,EXIT_28,,,,,,,,,0.0,3298.5,3304.5,6.0,1.0,,,,,,,,,,
3305.625,exit_stop_service,BOT_2,RACK_587,1.0,EXIT_12,,,,,,,,,0.0,3299.625,3305.625,6.0,1.0,,,,,,,,,,
3306.125,return_leg,BOT_24,RACK_597,1.0,EXIT_1,last_exit_to_return,EXIT_1,return,3278.625,3306.125,17.2,3.0,27.499999999999996,,,,,,,,,,,,,,,
3306.125,trip_completed,BOT_24,RACK_597,,,,,,,,,,,,,,,,1.0,1.0,3250.0,3306.125,56.125,32.099999999999994,50.12499999999999,0.0,6.0,56.125
3308.0,travel_leg,BOT_12,RACK_592,1.0,EXIT_26,receiving_to_first_exit,receiving,EXIT_26,3224.5,3308.0,63.599999999999994,2.0,83.49999999999999,,,,,,,,,,,,,,,
3312.25,return_leg,BOT_13,RACK_568,1.0,EXIT_28,last_exit_to_return,EXIT_28,return,3208.5,3312.25,78.2,3.0,103.75,,,,,,,,,,,,,,,
3312.25,trip_completed,BOT_13,RACK_568,,,,,,,,,,,,,,,,1.0,1.0,3100.5,3312.25,211.75,156.60000000000002,205.75,0.0,6.0,211.75
3314.0,exit_stop_service,BOT_12,RACK_592,1.0,EXIT_26,,,,,,,,,0.0,3308.0,3314.0,6.0,1.0,,,,,,,,,,
3319.0,return_leg,BOT_17,RACK_558,1.0,EXIT_31,last_exit_to_return,EXIT_31,return,3187.5,3319.0,100.40000000000002,3.0,131.5,,,,,,,,,,,,,,,
3319.0,trip_completed,BOT_17,RACK_558,,,,,,,,,,,,,,,,1.0,1.0,3051.75,3319.0,267.25,201.00000000000006,261.25,0.0,6.0,267.25
3322.5,travel_leg,BOT_11,RACK_590,1.0,EXIT_28,receiving_to_first_exit,receiving,EXIT_28,3220.5,3322.5,78.4,2.0,102.0,,,,,,,,,,,,,,,
3328.25,travel_leg,BOT_14,RACK_586,1.0,EXIT_31,receiving_to_first_exit,receiving,EXIT_31,3198.5,3328.25,100.60000000000002,2.0,129.75000000000003,,,,,,,,,,,,,,,
3328.5,travel_leg,BOT_10,RACK_598,1.0,EXIT_24,receiving_to_first_exit,receiving,EXIT_24,3263.5,3328.5,48.8,2.0,65.0,,,,,,,,,,,,,,,
3328.5,exit_stop_service,BOT_11,RACK_590,1.0,EXIT_28,,,,,,,,,0.0,3322.5,3328.5,6.0,1.0,,,,,,,,,,
3329.75,travel_leg,BOT_30,RACK_589,1.0,EXIT_29,receiving_to_first_exit,receiving,EXIT_29,3218.5,3329.75,85.80000000000001,2.0,111.25000000000001,,,,,,,,,,,,,,,
3330.625,travel_leg,BOT_3,RACK_593,1.0,EXIT_12,receiving_to_first_exit,receiving,EXIT_12,3231.0,3330.625,76.5,2.0,99.625,,,,,,,,,,,,,,,
3332.25,travel_leg,BOT_18,RACK_595,1.0,EXIT_27,receiving_to_first_exit,receiving,EXIT_27,3239.5,3332.25,71.0,2.0,92.75,,,,,,,,,,,,,,,
3332.75,travel_leg,BOT_1,RACK_588,1.0,EXIT_31,receiving_to_first_exit,receiving,EXIT_31,3203.0,3332.75,100.60000000000002,2.0,129.75000000000003,,,,,,,,,,,,,,,
3334.25,exit_stop_service,BOT_14,RACK_586,1.0,EXIT_31,,,,,,,,,0.0,3328.25,3334.25,6.0,1.0,,,,,,,,,,
3334.5,exit_stop_service,BOT_10,RACK_598,1.0,EXIT_24,,,,,,,,,0.0,3328.5,3334.5,6.0,1.0,,,,,,,,,,
3335.75,exit_stop_service,BOT_30,RACK_589,1.0,EXIT_29,,,,,,,,,0.0,3329.75,3335.75,6.0,1.0,,,,,,,,,,
3336.625,exit_stop_service,BOT_3,RACK_593,1.0,EXIT_12,,,,,,,,,0.0,3330.625,3336.625,6.0,1.0,,,,,,,,,,
3338.25,exit_stop_service,BOT_18,RACK_595,1.0,EXIT_27,,,,,,,,,0.0,3332.25,3338.25,6.0,1.0,,,,,,,,,,
3338.5,travel_leg,BOT_27,RACK_600,1.0,EXIT_22,receiving_to_first_exit,receiving,EXIT_22,3292.0,3338.5,34.0,2.0,46.5,,,,,,,,,,,,,,,
3340.25,return_leg,BOT_9,RACK_575,1.0,EXIT_28,last_exit_to_return,EXIT_28,return,3236.5,3340.25,78.2,3.0,103.75,,,,,,,,,,,,,,,
3340.25,exit_stop_service,BOT_1,RACK_588,1.0,EXIT_31,,,,,,,,,1.5,3334.25,3340.25,6.0,1.0,,,,,,,,,,
3340.25,trip_completed,BOT_9,RACK_575,,,,,,,,,,,,,,,,1.0,1.0,3128.5,3340.25,211.75,156.60000000000002,205.75,0.0,6.0,211.75
3344.0,travel_leg,BOT_35,RACK_596,1.0,EXIT_28,receiving_to_first_exit,receiving,EXIT_28,3242.0,3344.0,78.4,2.0,102.0,,,,,,,,,,,,,,,
3344.5,exit_stop_service,BOT_27,RACK_600,1.0,EXIT_22,,,,,,,,,0.0,3338.5,3344.5,6.0,1.0,,,,,,,,,,
3348.75,travel_leg,BOT_15,RACK_599,1.0,EXIT_25,receiving_to_first_exit,receiving,EXIT_25,3274.5,3348.75,56.19999999999999,2.0,74.24999999999999,,,,,,,,,,,,,,,
3350.0,exit_stop_service,BOT_35,RACK_596,1.0,EXIT_28,,,,,,,,,0.0,3344.0,3350.0,6.0,1.0,,,,,,,,,,
3351.25,return_leg,BOT_20,RACK_583,1.0,EXIT_26,last_exit_to_return,EXIT_26,return,3266.0,3351.25,63.39999999999999,3.0,85.24999999999999,,,,,,,,,,,,,,,
3351.25,trip_completed,BOT_20,RACK_583,,,,,,,,,,,,,,,,1.0,1.0,3176.5,3351.25,174.75,126.99999999999999,168.74999999999997,0.0,6.0,174.75
3351.75,return_leg,BOT_21,RACK_572,1.0,EXIT_29,last_exit_to_return,EXIT_29,return,3238.75,3351.75,85.60000000000001,3.0,113.0,,,,,,,,,,,,,,,
3351.75,trip_completed,BOT_21,RACK_572,,,,,,,,,,,,,,,,1.0,1.0,3121.5,3351.75,230.25,171.40000000000003,224.25,0.0,6.0,230.25
3354.125,return_leg,BOT_29,RACK_571,1.0,EXIT_14,last_exit_to_return,EXIT_14,return,3235.625,3354.125,89.99999999999999,3.0,118.49999999999997,,,,,,,,,,,,,,,
3354.125,trip_completed,BOT_29,RACK_571,,,,,,,,,,,,,,,,1.0,1.0,3116.0,3354.125,238.125,177.7,232.12499999999994,0.0,6.0,238.125
3354.5,return_leg,BOT_31,RACK_563,1.0,EXIT_32,last_exit_to_return,EXIT_32,return,3213.75,3354.5,107.80000000000003,3.0,140.75000000000003,,,,,,,,,,,,,,,
3354.5,trip_completed,BOT_31,RACK_563,,,,,,,,,,,,,,,,1.0,1.0,3068.75,3354.5,285.75,215.80000000000007,279.75000000000006,0.0,6.0,285.75
3354.75,exit_stop_service,BOT_15,RACK_599,1.0,EXIT_25,,,,,,,,,0.0,3348.75,3354.75,6.0,1.0,,,,,,,,,,
3368.25,return_leg,BOT_26,RACK_582,1.0,EXIT_27,last_exit_to_return,EXIT_27,return,3273.75,3368.25,70.8,3.0,94.49999999999999,,,,,,,,,,,,,,,
3368.25,trip_completed,BOT_26,RACK_582,,,,,,,,,,,,,,,,1.0,1.0,3175.0,3368.25,193.25,141.8,187.25,0.0,6.0,193.25
3371.25,return_leg,BOT_4,RACK_569,1.0,EXIT_31,last_exit_to_return,EXIT_31,return,3239.75,3371.25,100.40000000000002,3.0,131.5,,,,,,,,,,,,,,,
3371.25,trip_completed,BOT_4,RACK_569,,,,,,,,,,,,,,,,1.0,1.0,3104.0,3371.25,267.25,201.00000000000006,261.25,0.0,6.0,267.25
3380.25,return_leg,BOT_32,RACK_581,1.0,EXIT_28,last_exit_to_return,EXIT_28,return,3276.5,3380.25,78.2,3.0,103.75,,,,,,,,,,,,,,,
3380.25,trip_completed,BOT_32,RACK_581,,,,,,,,,,,,,,,,1.0,1.0,3168.5,3380.25,211.75,156.60000000000002,205.75,0.0,6.0,211.75
3389.625,travel_leg,BOT_16,RACK_601,1.0,EXIT_10,receiving_to_first_exit,receiving,EXIT_10,3304.0,3389.625,65.30000000000001,2.0,85.62500000000001,,,,,,,,,,,,,,,
